Frame,Left Iris Center X,Left Iris Center Y,Left Iris Radius,Right Iris Center X,Right Iris Center Y,Right Iris Radius,Left Pupil Center X,Left Pupil Center Y,Left Pupil Radius,Right Pupil Center X,Right Pupil Center Y,Right Pupil Radius
50,445,305,6,389,316,6,389,315,2,445,304,2
51,446,305,5,390,316,5,390,315,2,446,304,2
52,447,305,5,391,316,5,391,314,2,447,304,2
53,448,305,6,392,315,6,392,314,2,448,303,2
54,449,306,5,393,315,5,393,314,2,449,304,2
55,450,305,6,394,316,5,394,314,2,450,304,2
56,451,305,5,395,315,5,395,314,2,451,304,2
57,451,305,5,396,315,5,395,314,2,451,303,2
58,452,305,6,395,315,5,395,314,2,452,304,2
59,452,305,6,396,315,5,396,314,2,452,304,2
60,452,305,6,396,316,5,396,314,2,452,304,2
61,452,305,5,396,315,5,396,314,2,452,304,2
62,453,306,5,397,315,6,397,314,2,453,304,2
63,453,305,5,398,315,6,397,314,2,453,304,2
64,453,305,5,398,315,6,398,314,2,453,304,2
65,453,305,5,398,315,6,398,314,2,453,304,2
66,452,305,5,397,315,6,397,313,2,452,303,2
67,452,305,5,397,314,6,397,313,2,452,303,2
68,452,305,5,397,314,6,397,313,2,451,303,2
69,451,305,5,397,315,6,396,313,2,451,303,2
70,450,305,5,396,315,6,396,314,2,450,304,2
71,450,305,5,395,315,6,395,314,2,450,304,2
72,450,305,5,395,315,6,395,314,2,449,304,2
73,450,305,5,395,315,5,395,314,2,449,304,2
74,450,305,5,395,315,6,395,314,2,449,304,2
75,450,305,5,395,315,5,395,314,2,450,304,2
76,451,306,5,396,315,6,396,314,2,451,304,2
78,452,305,5,397,315,5,397,314,2,452,304,2
79,453,305,6,398,315,5,398,314,2,453,304,2
80,454,305,5,399,315,5,399,314,2,454,304,2
81,455,305,5,400,314,5,400,313,2,455,304,2
82,456,305,5,401,314,5,401,313,2,456,304,2
85,458,305,5,403,313,5,403,312,2,458,303,2
86,458,304,5,403,314,5,403,312,2,458,303,2
87,458,304,5,403,314,5,403,312,2,458,303,2
88,458,304,6,403,313,5,402,312,2,458,303,2
89,457,304,5,402,313,5,402,312,2,457,302,2
90,457,304,5,402,313,5,401,312,2,457,302,2
91,456,303,6,401,313,5,401,312,2,456,302,2
92,456,303,5,400,313,5,400,312,2,456,302,2
93,455,303,5,400,313,5,400,312,2,455,302,2
94,455,303,5,399,313,5,399,312,2,455,302,2
95,454,304,5,399,313,5,398,312,2,454,302,2
96,453,304,5,399,313,6,398,312,2,453,302,2
97,453,304,5,398,313,5,398,312,2,453,302,2
98,453,303,5,398,313,6,398,312,2,453,302,2
99,453,303,5,398,313,6,397,312,2,453,302,2
100,453,303,5,398,313,5,397,312,2,453,301,2
101,453,303,5,397,313,6,397,312,2,452,302,2
102,453,303,5,397,313,6,397,312,2,453,301,2
103,452,302,5,397,313,6,397,312,2,452,301,2
104,452,302,5,397,313,5,396,312,2,451,301,2
105,451,303,5,397,313,6,397,312,2,451,302,2
106,452,303,5,397,313,6,397,312,2,452,302,2
107,452,304,5,396,313,6,396,312,2,451,303,2
108,451,304,5,396,314,6,396,312,2,451,302,2
109,451,304,5,396,314,6,396,312,2,451,302,2
110,451,303,5,396,313,6,395,312,2,451,302,2
111,450,303,5,395,313,6,395,312,2,450,302,2
112,450,303,5,395,313,6,395,312,2,450,302,2
113,450,304,5,395,314,6,395,313,2,450,303,2
114,450,304,5,395,315,6,395,313,2,450,303,2
115,451,304,5,396,315,6,395,314,2,450,303,2
116,451,305,5,395,315,6,395,314,2,451,304,2
117,451,305,5,396,315,6,395,314,2,451,303,2
118,451,305,5,396,315,6,395,314,2,451,304,2
119,451,305,5,395,315,6,395,314,2,451,304,2
120,451,305,5,395,315,6,395,314,2,451,304,2
121,450,305,5,395,314,6,394,313,2,450,303,2
122,451,304,5,395,314,6,395,313,2,450,303,2
123,451,304,5,395,314,6,394,313,2,450,303,2
124,450,304,5,394,314,6,394,313,2,450,303,2
125,450,304,5,395,314,6,394,313,2,450,303,2
126,450,304,5,394,314,6,394,313,2,450,303,2
127,450,304,5,395,314,6,395,313,2,450,303,2
128,450,304,5,395,314,6,395,313,2,450,303,2
129,450,305,5,395,315,6,395,313,2,450,304,2
130,450,305,5,395,315,6,395,313,2,450,303,2
131,450,305,5,395,315,6,395,314,2,450,303,2
132,451,304,5,395,315,6,395,313,2,450,303,2
133,451,304,5,395,314,6,395,313,2,451,303,2
134,451,304,5,395,314,6,395,313,2,451,303,2
135,451,304,5,395,314,6,395,313,2,451,303,2
136,451,305,5,396,315,6,396,313,2,451,304,2
137,451,304,5,396,314,6,396,313,2,451,303,2
138,452,304,5,396,314,6,396,313,2,452,303,2
139,452,305,5,396,314,6,396,313,2,452,304,2
140,452,305,5,396,315,6,396,314,2,452,304,2
141,452,305,5,396,315,6,396,313,2,451,304,2
142,451,305,5,396,315,5,395,314,2,451,304,2
143,451,305,5,395,315,6,395,313,2,451,303,2
144,451,303,5,396,314,5,396,313,2,451,302,2
145,455,306,5,399,316,5,399,314,2,455,305,2
146,454,311,5,398,321,5,398,320,2,454,310,2
147,457,311,5,401,322,5,401,321,2,457,310,2
148,460,308,5,405,318,5,405,317,2,460,307,2
149,463,306,5,408,316,5,407,315,2,463,305,2
150,466,307,5,411,317,5,411,316,2,466,306,2
151,470,309,5,415,320,6,415,319,2,470,308,2
152,475,309,5,420,320,5,420,319,2,475,308,2
153,481,307,5,426,319,6,426,318,2,481,306,2
154,487,307,5,432,319,5,432,317,2,487,306,2
155,493,308,5,438,319,5,437,318,2,493,307,2
156,498,309,5,443,320,5,443,319,2,498,308,2
157,503,309,6,448,321,5,447,319,2,502,308,2
158,507,308,5,452,320,5,451,319,2,506,307,2
159,510,307,5,455,319,6,454,317,2,510,305,2
160,513,307,6,457,318,6,457,317,2,513,306,2
161,515,307,5,460,319,6,460,318,2,515,306,2
162,517,307,5,462,319,6,462,317,2,517,306,2
163,520,306,5,465,318,6,465,316,2,520,304,2
164,523,306,6,467,318,6,467,317,2,523,305,2
165,524,307,5,468,319,5,468,318,2,524,306,2
166,526,307,5,470,319,5,470,318,2,525,306,2
167,527,306,5,472,318,6,471,317,2,527,304,2
168,528,304,6,474,316,6,473,315,2,528,302,2
169,531,303,6,475,316,6,475,315,2,530,302,2
170,532,306,5,477,318,5,477,317,2,532,304,2
171,534,306,5,479,319,5,478,318,2,534,305,2
172,537,305,5,481,318,6,481,317,2,536,304,2
173,539,303,5,484,316,6,484,315,2,539,302,2
174,542,303,6,486,316,6,486,315,2,542,302,2
175,544,305,6,488,318,5,488,317,2,543,303,2
176,546,306,5,490,319,5,490,318,2,545,305,2
177,547,305,5,492,318,5,492,317,2,547,304,2
178,550,303,5,494,316,6,494,315,2,550,302,2
179,552,302,6,496,316,6,496,314,2,552,301,2
180,554,303,5,499,317,5,498,315,2,554,302,2
181,556,304,5,501,318,5,500,317,2,556,303,2
182,560,304,5,505,318,6,504,316,2,560,303,2
183,564,303,5,508,316,6,508,315,2,563,301,2
184,567,302,6,512,316,6,511,315,2,567,301,2
185,571,303,6,516,316,6,515,315,2,571,301,2
186,575,303,5,519,318,5,519,316,2,575,302,2
187,578,304,6,522,318,5,522,316,2,577,303,2
188,580,302,5,524,316,5,524,315,2,580,301,2
189,581,301,6,525,315,5,525,314,2,581,300,2
190,583,301,5,526,315,5,526,314,2,582,300,2
191,584,302,5,528,316,5,528,315,2,584,300,2
192,587,302,5,530,316,5,530,315,2,586,301,2
193,589,301,5,533,315,6,532,314,2,588,300,2
194,590,300,6,534,315,6,533,313,2,590,299,2
195,592,301,6,536,315,6,536,313,2,592,299,2
196,594,301,6,537,316,6,537,314,2,593,300,2
197,596,301,6,539,316,6,539,315,2,595,300,2
198,597,301,6,541,315,6,540,314,2,597,299,2
199,598,300,6,542,315,5,541,314,2,598,299,2
200,599,301,6,542,315,5,542,314,2,598,299,2
201,599,301,5,542,316,5,542,315,2,599,300,2
202,599,301,6,543,316,5,542,315,2,599,300,2
203,599,301,6,542,316,5,542,314,2,599,300,2
204,599,301,6,542,316,5,542,315,2,598,300,2
205,598,301,6,541,316,6,541,315,2,598,300,2
206,597,301,6,541,316,5,540,315,2,597,300,2
207,596,301,6,539,316,5,539,315,2,595,299,2
208,595,302,5,538,317,5,537,316,2,594,301,2
209,592,306,5,535,320,5,535,319,2,591,304,2
210,585,311,5,530,325,5,530,324,2,585,310,2
211,578,317,5,522,331,5,522,330,2,578,316,2
216,505,389,5,451,402,4,451,401,2,505,388,2
220,483,445,4,430,456,4,430,455,2,483,444,2
239,489,423,4,437,436,4,437,435,2,489,422,2
240,489,423,5,438,436,4,437,435,2,489,422,2
269,491,394,5,439,406,5,438,404,2,491,393,2
271,491,390,5,439,402,5,439,401,2,491,389,2
272,492,389,5,439,401,5,438,400,2,491,388,2
273,491,388,5,438,400,5,438,399,2,490,387,2
274,490,387,5,437,400,5,437,399,2,490,386,2
275,490,387,5,436,400,5,436,399,2,490,386,2
276,489,387,5,436,400,5,435,399,2,489,386,2
277,489,388,5,435,401,5,434,400,2,488,386,2
278,488,388,5,434,401,5,433,400,2,487,387,2
279,487,388,5,433,401,5,433,400,2,487,386,2
280,487,388,5,433,401,5,432,400,2,487,387,2
281,486,388,5,432,401,5,432,400,2,486,387,2
282,486,387,5,431,401,5,431,400,2,486,386,2
283,486,386,5,431,399,5,430,398,2,486,385,2
284,486,385,5,430,398,5,430,397,2,486,384,2
285,486,383,5,430,396,5,430,395,2,486,382,2
286,486,381,5,430,394,6,429,393,2,486,380,2
287,486,380,6,430,394,5,429,393,2,486,378,2
288,487,380,6,430,394,5,430,392,2,487,378,2
289,488,379,6,430,393,5,430,392,2,487,378,2
290,488,378,6,431,392,5,430,391,2,488,377,2
291,490,379,6,431,393,5,431,391,2,489,377,2
292,491,380,6,432,394,5,432,393,2,490,379,2
293,491,382,6,432,395,6,432,394,2,491,381,2
295,492,383,6,433,397,5,432,395,2,492,382,2
296,492,384,6,432,397,5,432,396,2,492,382,2
300,491,380,6,432,394,5,432,393,2,491,379,2
357,498,303,6,439,315,6,439,314,2,497,301,2
358,497,304,6,439,316,6,438,315,2,497,302,2
359,495,304,6,438,316,6,437,315,2,495,302,2
360,495,303,6,437,316,6,437,315,2,494,302,2
361,493,303,5,436,316,6,436,314,2,493,302,2
362,492,304,6,435,317,6,435,315,2,492,302,2
363,491,304,6,435,317,6,434,316,2,491,303,2
364,490,304,5,434,317,6,434,315,2,490,303,2
365,489,302,5,433,316,5,433,314,2,489,301,2
366,489,301,5,434,315,6,433,313,2,489,300,2
367,488,301,5,433,314,6,432,313,2,488,300,2
368,487,300,5,432,314,6,431,312,2,487,299,2
369,487,299,5,432,313,5,432,312,2,486,298,2
370,487,298,5,432,313,6,431,312,2,487,297,2
371,487,298,6,432,313,6,432,311,2,487,297,2
372,487,298,5,432,313,6,432,312,2,487,297,2
373,488,299,5,432,314,6,432,312,2,488,298,2
374,488,300,5,433,314,6,432,313,2,488,298,2
375,489,300,5,433,314,6,432,313,2,488,299,2
376,489,300,6,433,314,6,432,313,2,488,299,2
377,489,300,5,433,314,6,432,313,2,488,299,2
378,489,301,5,433,315,6,432,314,2,489,300,2
379,489,301,5,433,315,6,433,314,2,489,300,2
380,489,301,5,433,315,6,432,314,2,489,299,2
381,489,301,5,433,315,6,433,313,2,489,300,2
382,489,300,6,433,314,6,432,313,2,489,299,2
383,489,301,5,432,315,5,432,314,2,489,299,2
384,490,301,6,433,315,6,433,314,2,490,300,2
385,490,301,6,433,315,6,433,314,2,489,300,2
386,490,301,6,433,315,6,433,314,2,489,300,2
387,490,302,6,433,315,6,433,314,2,489,300,2
388,490,302,6,433,316,6,433,315,2,490,301,2
389,490,302,6,434,316,6,433,315,2,490,301,2
390,491,302,6,434,317,6,434,315,2,490,301,2
391,491,302,6,434,316,6,434,315,2,491,300,2
392,492,302,6,435,316,6,434,315,2,491,300,2
393,492,302,6,435,317,6,435,316,2,492,301,2
394,492,303,6,435,317,5,435,316,2,492,301,2
395,491,303,6,434,317,5,434,316,2,491,302,2
396,492,303,6,435,317,5,434,316,2,491,301,2
397,492,302,6,435,317,5,434,315,2,491,301,2
398,492,302,6,435,317,5,434,315,2,492,301,2
399,492,302,6,435,317,5,435,315,2,492,301,2
400,492,302,6,435,316,6,435,315,2,492,301,2
401,492,302,6,435,317,5,435,315,2,492,301,2
402,492,302,6,436,317,5,435,315,2,492,301,2
403,493,302,6,436,317,5,436,316,2,493,301,2
404,493,303,6,436,317,5,435,316,2,492,301,2
405,493,303,6,436,317,5,436,316,2,493,301,2
406,494,304,6,437,318,5,437,317,2,493,302,2
407,494,304,6,437,318,5,437,317,2,494,302,2
408,495,304,6,437,318,5,437,317,2,494,303,2
409,495,304,5,438,318,5,437,317,2,494,303,2
410,495,304,6,438,319,6,437,317,2,495,303,2
411,495,304,6,438,319,5,437,318,2,494,303,2
412,495,304,6,438,319,5,437,318,2,495,303,2
413,495,304,6,438,319,6,437,317,2,495,303,2
414,495,304,5,438,319,6,437,317,2,495,303,2
415,495,304,6,437,319,6,437,318,2,494,303,2
416,494,304,6,437,318,5,437,317,2,494,303,2
417,494,304,6,437,318,5,437,317,2,494,303,2
418,494,304,6,437,318,5,436,317,2,494,303,2
419,494,304,6,437,318,5,436,317,2,494,303,2
420,494,304,6,437,318,5,436,317,2,494,303,2
421,495,304,6,438,318,6,438,317,2,495,303,2
422,496,304,6,439,318,6,438,317,2,495,303,2
423,497,305,5,440,319,6,439,318,2,497,304,2
424,499,306,5,442,320,6,441,319,2,499,304,2
425,501,306,6,443,321,6,443,319,2,500,305,2
426,502,307,6,445,321,6,444,320,2,502,305,2
427,504,308,5,446,321,6,446,320,2,504,306,2
428,505,308,6,447,321,6,447,320,2,505,307,2
429,507,308,6,448,321,6,448,320,2,507,306,2
430,509,308,6,450,321,6,449,320,2,508,307,2
431,510,308,6,451,321,6,450,320,2,509,307,2
432,510,308,6,452,321,6,451,320,2,510,307,2
433,511,308,6,451,322,6,451,320,2,510,307,2
434,510,308,6,450,322,6,450,320,2,510,307,2
435,508,309,6,449,322,5,449,321,2,507,307,2
436,505,309,5,447,323,5,446,321,2,505,308,2
437,502,309,5,443,323,5,443,321,2,502,308,2
438,500,310,6,441,324,5,441,322,2,500,309,2
439,498,311,6,440,324,5,439,323,2,498,309,2
440,497,311,6,439,325,5,439,324,2,497,310,2
441,496,311,6,438,326,5,438,324,2,496,310,2
442,496,312,6,438,326,5,437,325,2,495,310,2
443,495,312,6,437,326,5,437,325,2,495,310,2
444,494,312,6,436,326,5,436,325,2,494,311,2
445,494,312,6,436,326,5,435,325,2,493,311,2
446,493,312,6,435,326,5,435,325,2,493,311,2
447,493,312,6,435,327,5,434,325,2,493,311,2
448,493,312,6,434,327,6,434,325,2,492,311,2
449,492,312,6,434,326,6,433,325,2,491,310,2
